source,app,title,description,datamodel,"providing_technologies","security_domain",category,"use_case",mitre,killchain,"detection_searches","investigative_searches","contextual_searches","support_searches",qualifiedSearch
ES,"DA-ESS-EndpointProtection","Abnormally High Number of Endpoint Changes By User","Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.",Change,,,,,,,"Abnormally High Number of Endpoint Changes By User",,,," `tstats` count from datamodel=Endpoint.Filesystem where Filesystem.tag=""change"" by Filesystem.user | eval change_type=""filesystem"",user='Filesystem.user' | `tstats` append=T count from datamodel=Endpoint.Registry where Registry.tag=""change"" by Registry.user | eval change_type=if(isnull(change_type),""registry"",change_type),user=if(isnull(user),'Registry.user',user) | `tstats` append=T count from datamodel=Change.All_Changes where nodename=""All_Changes.Endpoint_Changes"" by All_Changes.change_type,All_Changes.user | eval change_type=if(isnull(change_type),'All_Changes.change_type',change_type),user=if(isnull(user),'All_Changes.user',user) | stats count as change_count by change_type,user  | `mltk_apply_upper(""app:change_count_by_user_by_change_type_1d"", ""extreme"", ""change_count"")`"
ES,"DA-ESS-NetworkProtection","Abnormally High Number of HTTP Method Events By Src","Alerts when a host has an abnormally high number of HTTP requests by http method.",Web,,network,,,,,"Abnormally High Number of HTTP Method Events By Src",,,," tstats `summariesonly` count as web_event_count from datamodel=Web.Web by Web.src, Web.http_method | `drop_dm_object_name(""Web"")` | `mltk_apply_upper(""app:count_by_http_method_by_src_1d"", ""extreme"", ""web_event_count"")`"
ES,"SA-AccessProtection","Account Deleted","Detects user and computer account deletion",Change,,access,,,,,"Account Deleted",,,," from datamodel:""Change"".""Account_Management"" | where 'tag'=""delete"" | stats max(_time) as ""lastTime"",latest(_raw) as ""orig_raw"",values(result) as ""signature"",values(src) as ""src"",values(dest) as ""dest"",count by ""src_user"",""user"" | where 'count'>0"
ES,"SA-IdentityManagement","Activity from Expired User Identity","Alerts when an event is discovered from a user associated with identity that is now expired (that is, the end date of the identity has been passed).","Identity_Management",,identity,,,,,"Activity from Expired User Identity",,,," from datamodel:""Identity_Management"".""Expired_Identity_Activity"" | stats max(_time) as ""lastTime"",latest(_raw) as ""orig_raw"",count by ""expired_user"" | rename ""expired_user"" as ""user"""
ES,"SA-AuditAndDataProtection","Anomalous Audit Trail Activity Detected","Discovers anomalous activity such as the deletion of or clearing of log files. Attackers oftentimes clear the log files in order to hide their actions, therefore, this may indicate that the system has been compromised.",Change,,audit,,,,,"Anomalous Audit Trail Activity Detected",,,," from datamodel:""Change"".""Auditing_Changes"" | where ('action'=""cleared"" OR 'action'=""stopped"") | stats max(_time) as ""lastTime"",latest(_raw) as ""orig_raw"",count by ""dest"",""result"" | rename ""result"" as ""signature"""
ES,"DA-ESS-EndpointProtection","Anomalous New Listening Port","Alerts a series of hosts begin listening on a new port within 24 hours. This may be an indication that the devices have been compromised or have had new (and potentially vulnerable) software installed.",,,endpoint,,,,,"Anomalous New Listening Port",,,," from inputlookup:""listeningports_tracker"" | eval earliestQual=case(match(""-24h@h"", ""^\d""), tostring(""-24h@h""),  match(""-24h@h"", ""^([@\+-]){1}""), relative_time(time(), ""-24h@h""),  true(), time()) | eval latestQual=case(match(""+0s"", ""^\d""), tostring(""+0s""),  match(""+0s"", ""^([@\+-]){1}""), relative_time(time(), ""+0s""),  true(), time()) | where ('firstTime'>=earliestQual AND 'firstTime'<=latestQual) | fields - earliestQual, latestQual | stats dc(dest) as ""dest_count"" by ""transport"",""dest_port"" | where 'dest_count'>10"
ES,"SA-EndpointProtection","Anomalous New Process","Alerts when an anomalous number hosts are detected with a new process.",,,endpoint,,,,,"Anomalous New Process",,,," from inputlookup:""localprocesses_tracker"" | eval earliestQual=case(match(""-24h@h"", ""^\d""), tostring(""-24h@h""),  match(""-24h@h"", ""^([@\+-]){1}""), relative_time(time(), ""-24h@h""),  true(), time()) | eval latestQual=case(match(""+0s"", ""^\d""), tostring(""+0s""),  match(""+0s"", ""^([@\+-]){1}""), relative_time(time(), ""+0s""),  true(), time()) | where ('firstTime'>=earliestQual AND 'firstTime'<=latestQual) | fields - earliestQual, latestQual | stats dc(dest) as ""dest_count"",values(dest) as ""dest"" by ""process"" | where 'dest_count'>9"
ES,"SA-EndpointProtection","Anomalous New Service","Alerts when an anomalous number hosts are detected with a new service.",,,endpoint,,,,,"Anomalous New Service",,,," from inputlookup:""services_tracker"" | eval earliestQual=case(match(""-24h@h"", ""^\d""), tostring(""-24h@h""),  match(""-24h@h"", ""^([@\+-]){1}""), relative_time(time(), ""-24h@h""),  true(), time()) | eval latestQual=case(match(""+0s"", ""^\d""), tostring(""+0s""),  match(""+0s"", ""^([@\+-]){1}""), relative_time(time(), ""+0s""),  true(), time()) | where ('firstTime'>=earliestQual AND 'firstTime'<=latestQual) | fields - earliestQual, latestQual | stats dc(dest) as ""dest_count"",values(dest) as ""dest"" by ""service"" | where 'dest_count'>9"
ES,"SA-IdentityManagement","Asset Ownership Unspecified","Alerts when there are assets that define a specific priority and category but do not have an assigned owner.","Identity_Management",,identity,,,,,"Asset Ownership Unspecified",,,," from datamodel:""Identity_Management"".""All_Assets"" | where isnotnull('priority') AND len('priority')>0 AND isnotnull('category') AND len('category')>0 AND (isnull('owner') OR len('owner')==0) AND (isnull('ip') OR len('ip')==0 OR mvcount('ip')==1) | stats count | where 'count'>0 | eval const_dedup_id=""const_dedup_id"""
ES,"SA-AccessProtection","Brute Force Access Behavior Detected","Detects excessive number of failed login attempts along with a successful attempt (this could indicate a successful brute force attack)",Authentication,,access,,,,,"Brute Force Access Behavior Detected",,,," from datamodel:""Authentication"".""Authentication"" | stats values(tag) as tag,values(app) as app,count(eval('action'==""failure"")) as failure,count(eval('action'==""success"")) as success by src | search success>0 | `mltk_apply_upper(""app:failures_by_src_count_1h"", ""high"", ""failure"")`"
