source,app,title,description,datamodel,"providing_technologies","security_domain",category,"use_case",mitre,killchain,"detection_searches","investigative_searches","contextual_searches","support_searches",qualifiedSearch
"ESCU Analytic Stories","DA-ESS-ContentUpdate","AWS Cross Account Activity","Track when a user assumes an IAM role in another AWS account to obtain cross-account access to services and resources in that account. Accessing new roles could be an indication of malicious activity.",,"AWS | Splunk Enterprise Security",,"Cloud Security",,"Credential Access","Actions on Objectives","ESCU - AWS Cross Account Activity From Previously Unseen Account - Rule","ESCU - AWS Investigate User Activities By AccessKeyId | ESCU - AWS Investigate User Activities By Source User | ESCU - Get Notable History",,"ESCU - Previously Seen AWS Cross Account Activity",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","AWS Cryptomining","Monitor your AWS EC2 instances for activities related to cryptojacking/cryptomining. New instances that originate from previously unseen regions users who launch abnormally high numbers of instances or EC2 instances started by previously unseen users are just a few examples of potentially malicious behavior.",,"AWS | Splunk Enterprise Security",,"Cloud Security",,"Defense Evasion | Execution","Actions on Objectives","ESCU - Abnormally High AWS Instances Launched by User - Rule | ESCU - EC2 Instance Started In Previously Unseen Region - Rule | ESCU - EC2 Instance Started With Previously Unseen AMI - Rule | ESCU - EC2 Instance Started With Previously Unseen Instance Type - Rule | ESCU - EC2 Instance Started With Previously Unseen User - Rule","ESCU - AWS Investigate User Activities By ARN | ESCU - Get EC2 Instance Details by instanceId | ESCU - Get EC2 Launch Details | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get User Information from Identity Table | ESCU - Investigate AWS activities via region name",,"ESCU - Previously Seen AWS Regions | ESCU - Previously Seen EC2 AMIs | ESCU - Previously Seen EC2 Instance Types | ESCU - Previously Seen EC2 Launches By User",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","AWS Network ACL Activity","Monitor your AWS network infrastructure for bad configurations and malicious activity. Investigative searches help you probe deeper when the facts warrant it.",,"AWS | Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Cloud Security",,"Command and Control | Exfiltration | Persistence","Actions on Objectives | Command and Control","ESCU - AWS Network Access Control List Created with All Open Ports - Rule | ESCU - AWS Network Access Control List Deleted - Rule | ESCU - Detect Spike in Network ACL Activity - Rule | ESCU - Detect Spike in blocked Outbound Traffic from your AWS - Rule","ESCU - AWS Investigate User Activities By ARN | ESCU - AWS Network ACL Details from ID | ESCU - AWS Network Interface details via resourceId | ESCU - Get All AWS Activity From IP Address | ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get DNS traffic ratio | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Process Responsible For The DNS Traffic | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"ESCU - Baseline of Network ACL Activity by ARN | ESCU - Baseline of blocked outbound traffic from AWS",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","AWS Suspicious Provisioning Activities","Monitor your AWS provisioning activities for behaviors originating from unfamiliar or unusual locations. These behaviors may indicate that malicious activities are occurring somewhere within your network.",,AWS,,"Cloud Security",,,,"ESCU - AWS Cloud Provisioning From Previously Unseen City - Rule | ESCU - AWS Cloud Provisioning From Previously Unseen Country - Rule | ESCU - AWS Cloud Provisioning From Previously Unseen IP Address - Rule | ESCU - AWS Cloud Provisioning From Previously Unseen Region - Rule","ESCU - Get All AWS Activity From City | ESCU - Get All AWS Activity From Country | ESCU - Get All AWS Activity From IP Address | ESCU - Get All AWS Activity From Region",,"ESCU - Previously Seen AWS Provisioning Activity Sources",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","AWS User Monitoring","Detect and investigate dormant user accounts for your AWS environment that have become active again. Because inactive and ad-hoc accounts are common attack targets it's critical to enable governance within your environment.",,"AWS | Splunk Enterprise Security",,"Cloud Security",,"Credential Access | Execution","Actions on Objectives","ESCU - Detect API activity from users without MFA - Rule | ESCU - Detect AWS API Activities From Unapproved Accounts - Rule | ESCU - Detect Spike in AWS API Activity - Rule | ESCU - Detect Spike in Security Group Activity - Rule | ESCU - Detect new API calls from user roles - Rule","ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Investigate AWS User Activities by user field",,"ESCU - Baseline of API Calls per User ARN | ESCU - Baseline of Security Group Activity by ARN | ESCU - Create a list of approved AWS service accounts | ESCU - Previously seen API call per user roles in CloudTrail",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Account Monitoring and Controls","A common attack technique is to leverage user accounts to gain unauthorized access to the target's network. This Analytic Story minimizes opportunities for attack by helping you actively manage creation/use/dormancy/deletion--the lifecycle of system and application accounts.",,"Active Directory | Linux | Microsoft Windows | Splunk Enterprise Security | macOS",,"Best Practices",,"Create Account | Initial Access | Persistence | Valid Accounts",,"ESCU - Detect Excessive Account Lockouts From Endpoint - Rule | ESCU - Detect Excessive User Account Lockouts - Rule | ESCU - Identify New User Accounts - Rule | ESCU - Short Lived Windows Accounts - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Logon Rights Modifications For Endpoint | ESCU - Get Logon Rights Modifications For User | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Apache Struts Vulnerability","Detect and investigate activities--such as unusually long `Content-Type` length suspicious java classes and web servers executing suspicious processes--consistent with attempts to exploit Apache Struts vulnerabilities.",,"Apache | Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Vulnerability,,"Defense Evasion | Discovery | Execution | Exploitation of Vulnerability | System Information Discovery","Actions on Objectives | Delivery | Exploitation","ESCU - Suspicious Java Classes - Rule | ESCU - Unusually Long Content-Type Length - Rule | ESCU - Web Servers Executing Suspicious Processes - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Suspicious Strings in HTTP Header | ESCU - Investigate Web POSTs From src",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Asset Tracking","Keep a careful inventory of every asset on your network to make it easier to detect rogue devices. Unauthorized/unmanaged devices could be an indication of malicious behavior that should be investigated further.",,"Bro | Microsoft Windows | Splunk Enterprise Security | Splunk Stream",,"Best Practices",,"Defense Evasion","Actions on Objectives | Delivery | Reconnaissance","ESCU - Detect Unauthorized Assets by MAC address - Rule","ESCU - Get First Occurrence and Last Occurrence of a MAC Address | ESCU - Get Notable History | ESCU - Get Notable Info",,"ESCU - Count of assets by category",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Brand Monitoring","Detect and investigate activity that may indicate that an adversary is using faux domains to mislead users into interacting with malicious infrastructure. Monitor DNS email and web traffic for permutations of your brand name.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Exchange | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Abuse,,,"Actions on Objectives | Delivery","ESCU - Monitor DNS For Brand Abuse - Rule | ESCU - Monitor Email For Brand Abuse - Rule | ESCU - Monitor Web Traffic For Brand Abuse - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Email Info | ESCU - Get Emails From Specific Sender | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Process Responsible For The DNS Traffic | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"ESCU - DNSTwist Domain Names",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Cloud Cryptomining","Monitor your cloud compute instances for activities related to cryptojacking/cryptomining. New instances that originate from previously unseen regions users who launch abnormally high numbers of instances or compute instances started by previously unseen users are just a few examples of potentially malicious behavior.",,"AWS | Azure | GCP | Splunk Enterprise Security",,"Cloud Security",,"Defense Evasion | Execution","Actions on Objectives","ESCU - Abnormally High AWS Instances Launched by User - MLTK - Rule | ESCU - Cloud Compute Instance Created By Previously Unseen User - Rule | ESCU - Cloud Compute Instance Created With Previously Unseen Image - Rule | ESCU - Cloud Compute Instance Created With Previously Unseen Instance Type - Rule | ESCU - Cloud Compute Instance Started In Previously Unused Region - Rule","ESCU - AWS Investigate User Activities By ARN | ESCU - Get EC2 Instance Details by instanceId | ESCU - Get EC2 Launch Details | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get User Information from Identity Table | ESCU - Investigate AWS activities via region name | ESCU - Investigate Cloud Compute Instance Activities | ESCU - Investigate User Activities In All Cloud Regions | ESCU - Investigate User Activities In Single Cloud Region",,"ESCU - Baseline of Excessive AWS Instances Launched by User - MLTK | ESCU - Previously Seen Cloud Compute Creations By User | ESCU - Previously Seen Cloud Compute Images | ESCU - Previously Seen Cloud Compute Instance Types | ESCU - Previously Seen Cloud Regions",
